,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Watch time (hours),Streamers,Average channels
126,Aidyn Chronicles: The First Mage,0.08,0.02,0.0,0.0,0.1,3347.0,15.428571428571429,0.0
127,Air Combat,0.92,0.33,0.52,0.05,1.83,659.8571428571429,32.0,0.0
128,Air Conflicts: Aces of World War II,0.05,0.0,0.0,0.0,0.05,4.0,1.0,0.0
129,Air Conflicts: Secret Wars,0.16,0.1,0.0,0.05,0.3,103.8,8.6,0.0
130,Air Traffic Chaos,0.05,0.0,0.0,0.0,0.05,4.5,1.5,0.0
131,AirForce Delta Storm,0.14,0.04,0.0,0.01,0.18,67.0,1.0,0.0
132,AirForce Delta Storm,0.02,0.01,0.0,0.0,0.02,67.0,1.0,0.0
133,AirForce Delta Strike,0.05,0.04,0.0,0.01,0.11,112.66666666666669,3.5,0.0
134,Airborne Troops: Countdown to D-Day,0.06,0.05,0.0,0.02,0.12,76.66666666666667,2.6666666666666665,0.0
135,Airline Tycoon,0.0,0.01,0.0,0.0,0.02,848.1666666666666,11.333333333333334,0.0
136,Airline Tycoon 2,0.0,0.04,0.0,0.01,0.05,116.4,9.4,0.0
137,Airport Simulator,0.0,0.02,0.0,0.0,0.02,1638.0,15.6,0.0
138,Airship Q,0.0,0.0,0.03,0.0,0.03,30.33333333333333,2.0,0.0
139,Akai Katana Shin,0.04,0.0,0.01,0.0,0.06,260.7142857142857,11.142857142857142,0.0
140,Akiba's Trip,0.0,0.0,0.14,0.0,0.14,1720.3333333333333,23.666666666666668,0.0
141,Akiba's Trip: Undead & Undressed,0.14,0.03,0.12,0.04,0.32,48039.0,652.8,0.0
142,Akiba's Trip: Undead & Undressed,0.08,0.0,0.01,0.02,0.11,48039.0,652.8,0.0
143,Akuji the Heartless,0.07,0.04,0.0,0.01,0.12,207.66666666666663,10.166666666666666,0.0
144,Aladdin Magic Racer,0.01,0.0,0.0,0.0,0.01,4295.0,1.0,0.0
145,Alan Wake,0.66,0.51,0.05,0.13,1.35,350168.14285714284,5275.285714285715,2.7142857142857144
146,Alan Wake,0.0,0.06,0.0,0.01,0.07,350168.14285714284,5275.285714285715,2.7142857142857144
147,Alexi Lalas International Soccer,0.04,0.03,0.0,0.0,0.07,81.5,2.0,0.0
148,Alfa Romeo Racing Italiano,0.01,0.01,0.0,0.0,0.01,110.85714285714286,2.142857142857143,0.0
149,Alias,0.09,0.05,0.0,0.01,0.16,22861.222222222223,22.444444444444443,0.0
150,Alice in Wonderland,0.54,0.39,0.0,0.1,1.03,748.8571428571429,39.57142857142857,0.0
151,Alice: Madness Returns,0.49,0.5,0.08,0.15,1.22,311274.0,5734.0,3.0
152,Alien,0.74,0.04,0.0,0.01,0.79,17586.0,108.5,0.0
153,Alien Breed Trilogy,0.0,0.02,0.0,0.0,0.03,37.6,4.0,0.0
154,Alien Hominid,0.12000000000000001,0.06,0.0,0.01,0.19,1637.428571428571,132.28571428571428,0.0
155,Alien Monster Bowling League,0.09,0.0,0.0,0.01,0.09,2.0,1.0,0.0
156,Alien Resurrection,0.09,0.06,0.0,0.01,0.16,1208.5,28.33333333333333,0.0
157,Alien Syndrome,0.13,0.0,0.0,0.01,0.14,224.28571428571428,10.714285714285714,0.0
158,Alien Trilogy,0.24,0.16,0.04,0.03,0.47,6204.666666666667,65.83333333333333,0.0
159,Alien: Isolation,0.8300000000000001,1.25,0.04,0.34,2.4499999999999997,2809923.714285714,33792.28571428572,20.857142857142858
160,Aliens in the Attic,0.12000000000000001,0.0,0.0,0.01,0.13,49.5,1.0,0.0
161,Aliens: Colonial Marines,0.66,0.74,0.0,0.22,1.62,32976.28571428572,512.8571428571429,0.0
162,Aliens: Infestation,0.1,0.06,0.0,0.02,0.18,465.1666666666667,6.5,0.0
163,All Kamen Rider: Rider Generation,0.0,0.0,0.12,0.0,0.12,13.333333333333334,1.0,0.0
164,All Kamen Rider: Rider Generation 2,0.0,0.0,0.16,0.0,0.16,199.25,3.25,0.0
165,All Star Cheer Squad,0.69,0.29,0.0,0.1,1.08,62.25,1.5,0.0
166,All Star Karate,0.14,0.07,0.0,0.02,0.23,267.3333333333333,1.3333333333333333,0.0
167,All-Pro Football 2K8,0.38,0.0,0.0,0.03,0.41000000000000003,29178.0,23.857142857142858,0.0
168,All-Star Baseball 2000,0.36,0.03,0.0,0.0,0.39,96.5,4.0,0.0
169,All-Star Baseball 2001,0.22,0.01,0.0,0.0,0.23,9.25,0.75,0.0
170,All-Star Baseball 2002,0.44000000000000006,0.25,0.0,0.08,0.78,79.0,2.6666666666666665,0.0
171,All-Star Baseball 2004,0.42,0.23,0.0,0.05,0.7,10.0,1.0,0.0
172,Alleyway,0.96,0.38,0.55,0.05,1.94,79.2,5.2,0.0
173,Alone in the Dark: Inferno,0.09,0.03,0.0,0.02,0.14,31424.0,116.5,0.0
174,Alpha Protocol,0.42000000000000004,0.33999999999999997,0.0,0.12000000000000001,0.87,29796.33333333333,225.33333333333331,0.0
175,Alpha and Omega,0.06,0.0,0.0,0.0,0.07,3.4,1.0,0.0
176,Alter Echo,0.1,0.060000000000000005,0.0,0.02,0.18,103.66666666666669,5.666666666666667,0.0
177,Alter Ego,0.0,0.03,0.0,0.01,0.03,2575.833333333333,25.33333333333333,0.0
178,Altered Beast: Guardian of the Realms,0.07,0.02,0.0,0.0,0.09,115.0,2.5,0.0
179,Alundra,0.13,0.09,0.0,0.01,0.23,81787.42857142857,190.8571428571429,0.0
180,Alundra 2: A New Legend Begins,0.15,0.1,0.0,0.02,0.27,6392.428571428572,31.142857142857142,0.0
181,Alvin and the Chipmunks,0.21,0.03,0.0,0.02,0.27,2640.8571428571427,6.857142857142857,0.0
182,Alvin and the Chipmunks: Chipwrecked,0.23,0.05,0.0,0.03,0.31,77.28571428571429,2.2857142857142856,0.0
183,Alvin and the Chipmunks: The Squeakquel,0.37,0.0,0.0,0.03,0.4,35.333333333333336,2.0,0.0
184,Amagami,0.0,0.0,0.13,0.0,0.13,25428.33333333333,41.66666666666666,0.0
185,Amagami,0.0,0.0,0.15,0.0,0.15,25428.33333333333,41.66666666666666,0.0
186,Amagami,0.0,0.0,0.04,0.0,0.04,25428.33333333333,41.66666666666666,0.0
187,Amagoushi no Yakata,0.0,0.0,0.02,0.0,0.02,690.0,1.25,0.0
188,Amazing Island,0.04,0.01,0.0,0.0,0.06,4164.0,37.57142857142857,0.0
189,America's Army: Rise of a Soldier,0.19,0.05,0.0,0.01,0.25,10.0,2.75,0.0
190,America's Army: True Soldiers,0.08,0.0,0.0,0.01,0.08,2.0,1.0,0.0
191,America's Next Top Model,0.1,0.0,0.0,0.01,0.1,7811.333333333333,8.666666666666666,0.0
192,America's Next Top Model,0.08,0.0,0.0,0.01,0.08,7811.333333333333,8.666666666666666,0.0
193,America's Test Kitchen: Let's Get Cooking,0.25,0.0,0.0,0.02,0.27,53.66666666666666,1.5,0.0
194,American Bass Challenge,0.03,0.01,0.0,0.0,0.05,3.0,2.0,0.0
195,American Chopper,0.45999999999999996,0.04,0.0,0.06999999999999999,0.57,282.7142857142857,3.4285714285714284,0.0
196,American Chopper 2: Full Throttle,0.16999999999999998,0.09000000000000001,0.0,0.02,0.28,333.625,3.75,0.0
197,American Girl: Julie Finds a Way,0.1,0.0,0.0,0.01,0.11,6.75,1.0,0.0
198,American Idol,0.42000000000000004,0.27,0.0,0.07,0.77,1211.571428571429,15.0,0.0
199,Amnesia,0.0,0.0,0.04,0.0,0.04,11808.4,304.8,0.0
200,Amnesia Crowd,0.0,0.0,0.05,0.0,0.05,61.22222222222222,3.555555555555556,0.0
201,Amnesia Later,0.0,0.0,0.05,0.0,0.05,151.5,6.0,0.0
202,Amnesia Later,0.0,0.0,0.01,0.0,0.01,151.5,6.0,0.0
203,Amped 2,0.2,0.04,0.0,0.01,0.25,278.0,4.4,0.0
204,Amped 3,0.13,0.02,0.0,0.01,0.16,151.6,5.0,0.0
205,Amped: Freestyle Snowboarding,0.69,0.11,0.0,0.02,0.82,71.14285714285714,4.428571428571429,0.0
206,Amplitude,0.09,0.07,0.0,0.02,0.18,8040.428571428572,728.4285714285714,0.1428571428571428
207,An American Tail: Fievel's Gold Rush,0.02,0.01,0.0,0.0,0.03,16.0,1.2,0.0
208,Anarchy Reigns,0.21000000000000002,0.05,0.08,0.03,0.38,1422.571428571429,30.142857142857142,0.0
209,Andretti Racing,0.43,0.29,0.0,0.05,0.77,130.2,3.2,0.0
210,Angel Blade: Neo Tokyo Guardians,0.12,0.08,0.0,0.01,0.21,17.0,1.0,0.0
211,Angelique Duet,0.0,0.0,0.04,0.0,0.04,777.5,1.5,0.0
212,Angelique Retour,0.0,0.0,0.02,0.0,0.02,42.0,2.0,0.0
213,Angelique Trois,0.0,0.0,0.06,0.0,0.06,2.0,1.0,0.0
214,Angry Birds,0.0,0.18,0.0,0.05,0.24,7981.833333333333,215.0,0.0
215,Angry Birds Star Wars,0.94,0.73,0.0,0.22999999999999998,1.9,244.0,45.16666666666666,0.0
216,Angry Birds Trilogy,0.6799999999999999,0.28,0.0,0.09,1.06,486.5,7.0,0.0
217,Anima - Gate of Memories,0.0,0.02,0.0,0.0,0.02,680.1666666666666,72.5,0.0
218,Animal Crossing,1.92,0.16,0.99,0.09,3.15,112290.28571428572,1751.428571428571,0.4285714285714285
219,Animal Crossing: City Folk,1.87,1.12,1.32,0.37,4.68,50552.857142857145,279.57142857142856,0.0
220,Animal Crossing: Happy Home Designer,0.47,1.0,1.39,0.12,2.98,17781.0,134.85714285714286,0.0
221,Animal Crossing: New Leaf,2.01,2.32,4.36,0.41,9.09,273412.5714285714,744.5714285714286,0.7142857142857143
222,Animal Crossing: Wild World,2.55,3.52,5.33,0.88,12.27,9776.0,193.28571428571428,0.0
223,Animal Genius,0.11,0.0,0.0,0.01,0.12,2.0,1.0,0.0
224,Animal Kingdom: Wildlife Expedition,0.07,0.0,0.0,0.01,0.08,13.5,1.5,0.0
225,Animal Paradise,0.09,0.14,0.0,0.02,0.25,3.0,1.0,0.0
226,Animal Planet: Emergency Vets,0.08,0.0,0.0,0.01,0.08,31.0,2.0,0.0
227,Animal Planet: Vet Collection,0.05,0.0,0.0,0.0,0.05,174.0,1.0,0.0
228,Animal Planet: Vet Life,0.19,0.0,0.0,0.02,0.21000000000000002,125.33333333333331,1.3333333333333333,0.0
229,Animaniacs: The Great Edgar Hunt,0.02,0.01,0.0,0.0,0.03,842.1666666666666,12.166666666666666,0.0
230,Animorphs: Shattered Reality,0.03,0.02,0.0,0.0,0.06,31272.625,12.125,0.0
231,Anno 1701: Dawn of Discovery,0.07,0.06,0.0,0.02,0.14,1657.4,55.0,0.0
232,Anno 2070,0.0,1.13,0.0,0.32,1.45,20488.571428571428,551.7142857142857,0.0
233,Anno 2205,0.02,0.22,0.0,0.01,0.25,23964.571428571428,639.7142857142857,0.0
234,Ant Nation,0.06,0.01,0.0,0.01,0.07,17.0,1.0,0.0
235,Antz Extreme Racing,0.03,0.02,0.0,0.01,0.06,313.42857142857144,4.857142857142857,0.0
236,Anubis II,0.06,0.0,0.0,0.0,0.07,247.125,4.0,0.0
237,Apache: Air Assault,0.22999999999999998,0.14,0.0,0.05,0.42000000000000004,39.4,6.0,0.0
238,Ape Escape,0.71,0.48,0.32,0.11,1.63,132541.0,613.625,0.0
239,Ape Escape,0.0,0.03,0.0,0.01,0.05,132541.0,613.625,0.0
240,Ape Escape 2,0.12,0.09,0.38,0.03,0.63,50555.142857142855,703.2857142857143,0.0
241,Ape Escape 3,0.06,0.05,0.0,0.02,0.13,29288.714285714286,194.42857142857144,0.0
242,Ape Escape Academy,0.13,0.15,0.0,0.05,0.33,1071.6666666666667,12.333333333333334,0.0
243,Ape Escape: On the Loose,0.52,0.01,0.12,0.05,0.7,1496.2222222222222,24.55555555555556,0.0
244,Ape Escape: Pumped & Primed,0.04,0.03,0.0,0.01,0.08,379.8333333333333,12.833333333333334,0.0
245,Apex,0.1,0.03,0.0,0.0,0.14,132076.66666666666,11840.0,5.333333333333333
246,Apocalypse,0.25,0.17,0.0,0.03,0.45,3578.714285714286,44.0,0.0
247,Apollo Justice: Ace Attorney,0.32,0.06,0.64,0.04,1.06,35796.142857142855,130.85714285714286,0.0
248,Aqua Aqua,0.05,0.04,0.0,0.01,0.11,75.4,3.2,0.0
249,Aqua Panic!,0.01,0.01,0.0,0.0,0.02,34.75,1.5,0.0
250,Aquaman: Battle for Atlantis,0.01,0.0,0.0,0.0,0.01,615.7142857142857,16.857142857142858,0.0
251,Aquanaut's Holiday,0.01,0.01,0.0,0.0,0.02,17.5,1.0,0.0
252,Aquapazza: Aquaplus Dream Match,0.05,0.0,0.05,0.01,0.1,1375.571428571429,12.857142857142858,0.0
253,Ar tonelico: Melody of Elemia,0.0,0.0,0.1,0.0,0.1,3098.6666666666665,54.833333333333336,0.0
254,Arc Rise Fantasia,0.13,0.0,0.06,0.01,0.19,3097.8571428571427,18.571428571428573,0.0
255,Arc the Lad,0.0,0.0,1.1,0.01,1.11,5040.0,26.571428571428573,0.0
256,Arc the Lad II,0.0,0.0,0.92,0.13,1.05,4848.714285714285,12.571428571428571,0.0
257,Arc the Lad III,0.0,0.0,0.39,0.03,0.42,1120.0,2.857142857142857,0.0
258,Arc the Lad: End of Darkness,0.03,0.02,0.0,0.01,0.06,8.666666666666666,1.0,0.0
259,Arc the Lad: Twilight of the Spirits,0.18,0.14,0.0,0.05,0.36,3751.428571428572,113.0,0.0
260,Arcade Party Pak,0.06,0.04,0.0,0.01,0.11,32.5,3.5,0.0
261,Arcade Shooting Gallery,0.18,0.0,0.0,0.01,0.19,5.5,1.5,0.0
262,Arcade Zone,0.14,0.0,0.0,0.01,0.16,52.333333333333336,12.0,0.0
263,Arcana Heart,0.06,0.05,0.04,0.02,0.16,1186.6666666666667,6.833333333333333,0.0
264,Arcana Heart 3,0.04,0.08,0.12000000000000001,0.02,0.25,183.8571428571429,12.0,0.0
