Game,Watch time (hours),Streamers,Average channels
100 doors of artifact: Room Escape Challenge,40673.0,45.0,0.0
100 hidden aliens,76.0,13.333333333333334,0.0
100 hidden birds,285.5,25.0,0.0
100 hidden cats 2,366.0,29.0,0.0
100 hidden cups,671.6666666666666,18.0,0.0
100 hidden dogs,1061.0,41.0,0.0
100 hidden eternals,246.0,18.0,0.0
100 hidden fish,281.0,31.0,0.0
100 hidden frogs,3846.0,322.0,0.0
100 hidden gnomes,149.0,10.0,0.0
100 hidden hares,365.0,17.0,0.0
100 hidden mice,97.5,13.0,0.0
100 hidden mushrooms,184.0,16.0,0.0
100 hidden rams,96.0,5.0,0.0
100 hidden snails,192.33333333333334,18.0,0.0
100 hidden snails 2,107.0,10.0,0.0
100 hidden turtles,338.0,22.0,0.0
100!,679.0,20.0,0.0
100! Block Puzzle,659.2,23.2,0.0
100% Hidden Objects,613.5,8.0,0.0
100% Orange Juice,109141.0,2597.285714285714,0.7142857142857143
100% Orange Juice - All Stars Collection,7.0,1.0,0.0
100% Pasukaru Sensei: Perfect Paint Bombers,16.0,0.0,0.0
"100,000 Games",68.4,3.0,0.0
100-Man Ton No Bara Bara,3.0,0.0,0.0
100-Player Twitch Chat Party Pack,3067.0,22.5,0.0
1000,656.0,15.5,0.0
1000 Amps,43.5,7.75,0.0
1000 Games: Volume 3,41.0,4.0,0.0
1000 Heads Among the Trees,36.333333333333336,3.6666666666666665,0.0
1000 Heroz,0.0,1.0,0.0
1000 Miglia,52.25,1.25,0.0
1000 Miglia: Great 1000 Miles Rally,119.66666666666667,2.3333333333333335,0.0
1000 Shards,60.0,1.0,0.0
1000 Tiny Claws,15.0,1.0,0.0
1000 Words,183.0,1.0,0.0
1000 days to escape,30069.0,49.0,0.0
10000000,1438.5714285714287,50.42857142857143,0.0
1001 Hugs,9.0,2.0,0.0
1001 Jigsaw Home Sweet Home Wedding Ceremony,15.0,1.0,0.0
1001 Jigsaw Legends of Mystery 2,2.0,0.0,0.0
1001 Jigsaw. Legends of Mystery,1.0,0.0,0.0
1001 Jigsaw. World Tour: London,390.0,1.0,0.0
1001 Spikes,34770.142857142855,130.85714285714286,0.0
1001-Kai-me no Aoi Tsuki,5.0,1.0,0.0
100NHAS,783.3333333333334,2.6666666666666665,0.0
100ft Robot Golf,12514.142857142857,82.14285714285714,0.0
101 Dalmatians: Escape from DeVil Manor,474.8333333333333,6.0,0.0
101 Dino Pets: The Virtual Pet Game,15.0,1.0,0.0
101 Dolphin Pets,149.0,1.0,0.0
101 Penguin Pets,164.0,2.0,0.0
101 Pinball World,18.0,1.0,0.0
101 Pony Pets,104.25,4.5,0.0
101 Puppy Pets,389.0,7.0,0.0
101 Shark Pets,117.5,1.0,0.0
101 Ways to Die,573.7777777777778,35.111111111111114,0.0
101 in 1 Megamix,1.3333333333333333,1.0,0.0
101-in-1 Explosive Megamix,346.0,2.0,0.0
101-in-1 Sports Megamix,149.0,1.0,0.0
1010,1.0,0.0,0.0
1010!,1840.0,16.0,0.0
101010,240.5,2.5,0.0
1010: BLOCK,138.0,7.0,0.0
102 Dalmatians: Activity Centre,248.0,4.5,0.0
1024,12.0,1.0,0.0
103,18602.5,35.75,0.0
1080° Avalanche,7031.0,35.714285714285715,0.0
1080° Snowboarding,2557.5714285714284,62.285714285714285,0.0
10K & The Kriminal World: Sammy's Attack,158.0,1.0,0.0
10S,242.0,7.0,0.0
10mg: Cover Me In Leaves,8.0,2.0,0.0
10mg: HANDMADEDEATHLABYRINTH issue 0,14.0,1.0,0.0
10mg: Locked In,51.0,3.0,0.0
10mg: SNAAAK,111.0,11.0,0.0
10mg: Sealed Estate,242.0,16.0,0.0
10mg: Stroke,34.0,3.0,0.0
10mg: You are such a Soft and Round Kitten.,8.0,1.0,0.0
10th Corpse,18.0,1.0,0.0
10tons Cyberpunk Bundle,1.0,0.0,0.0
11-11: Memories Retold,14422.6,189.0,0.0
110 Clevere Spiele Vol.1,11.333333333333334,1.0,0.0
11111Game,160.0,3.0,0.0
112 Operator,33217.333333333336,456.0,0.0
112th Seed,515.6666666666666,23.666666666666668,0.0
1187: Episode One,4.0,0.0,0.0
1193 Anno Domini: Merchants and Crusaders,2.0,0.0,0.0
11:45 A Vivid Life,3530.0,7.0,0.0
11eyes CrossOver,67.0,2.25,0.0
11gatsu no Arcadia,2.0,1.0,0.0
11th Dream,478.5,5.0,0.0
11x11: New Season,106.0,5.0,0.0
12,355.1666666666667,35.666666666666664,0.0
12 Dino Games in 1,1.0,0.0,0.0
12 Gatsu Monogatari: December Story,3.0,0.0,0.0
12 HOURS 2,44.0,3.0,0.0
12 Hours,50860.5,107.0,0.0
12 Hours Before Christmas,10.0,1.0,0.0
12 Hours to Die,394.0,10.0,0.0
12 Ji no Kane to Cinderella: Cinderella Series Triple Zenkan Pack,4.5,1.0,0.0
12 Labors,2.0,0.0,0.0
12 Labours of Hercules,430.85714285714283,32.0,0.0
12 Labours of Hercules II: The Cretan Bull,31059.0,8.5,0.0
12 Labours of Hercules III: Girl Power,36.0,3.0,0.0
12 Labours of Hercules IV: Mother Nature,145.0,7.0,0.0
12 Labours of Hercules V: Kids of Hellas,100.0,3.0,0.0
12 Labours of Hercules VII: Fleecing the Fleece,44.0,1.0,0.0
12 Locks and Keys,109.0,2.0,0.0
12 MiniBattles,195.5,8.5,0.0
12 O'Clock High: Bombing the Reich,1.0,0.0,0.0
12 Tails Online,166.0,7.0,0.0
12 bananas,82.0,8.0,0.0
12 is Better than 6,3442.285714285714,137.28571428571428,0.0
12 no Tsuki no Eve,729.0,5.0,0.0
12 orbits,87.5,5.5,0.0
12+,269.3333333333333,23.0,0.0
12-Sai Honto no Kimochi,20.0,1.0,0.0
12-sai. Koi suru Diary,2.0,1.0,0.0
120 En no Haru,10.0,1.0,0.0
121 N,6.0,4.0,0.0
1213: Episode 1,36.25,2.25,0.0
1213: Episode 2,15.142857142857142,1.8571428571428572,0.0
1213: Episode 3,27.8,1.6,0.0
123 Animal First Grade Math,12.5,4.166666666666667,0.0
123 Animal Math Games For Kids,301.2,14.6,0.0
123 Animal Preschool Games for Kids,56.0,3.3333333333333335,0.0
123 Animal Second Grade Math for Kids,31.0,2.111111111111111,0.0
123 Dots,52.0,3.0,0.0
123 Kids Fun ALPHABET,295.0,20.0,0.0
123 Kids Fun EDUCATION,23.0,1.0,0.0
123 Kids Fun PUZZLE Gold,42.0,1.0,0.0
123 Kids Fun Puzzle Blue,110.0,6.0,0.0
123 Maze,1708.8,26.0,0.0
123 Slaughter Me Street,1485.1666666666667,23.333333333333332,0.0
123 Slaughter Me Street 2,1314.1666666666667,16.666666666666668,0.0
123Babycount,188.0,2.0,0.0
12HourChallenge,19673.8,106.8,0.0
12Hours,1602.5,23.5,0.0
12Riven: The Psi-Climinal of Integral,3.0,0.0,0.0
12am,102.0,2.0,0.0
12nin no Onna Kyoushi,23.0,0.0,0.0
13 Cycles,52.0,1.0,0.0
13 DAYS OF LIFE,5.0,0.0,0.0
13 Puzzle Rooms,14.0,2.0,0.0
13 Sentinels: Aegis Rim,84819.75,769.25,0.75
13 Sentinels: Aegis Rim Prologue,20819.0,68.0,0.0
13 Wood ST,102.0,1.0,0.0
13!,233.0,17.0,0.0
13-Sai no Hello Work,13.0,1.0,0.0
1313 : Puzzle Game,70.0,3.0,0.0
1337 Ship Deathmatch,15.0,1.5,0.0
1365,2.0,1.0,0.0
13: Origin,803.5,12.5,0.0
14 Minesweeper Variants,2276.0,55.0,0.0
140,9059.0,200.57142857142858,0.0
1406,1727.5,10.5,0.0
1428: Shadows over Silesia,13686.0,60.0,0.0
14days,6.0,1.0,0.0
15 Days,206.5,6.833333333333333,0.0
15 Puzzle,13.333333333333334,2.3333333333333335,0.0
15's,316.0,1.0,0.0
1500DS Spirits Vol. 5: Hanafuda,7.0,1.0,0.0
1500DS Spirits Vol. 9: 2 Nin-uchi Mahjong,76.0,2.5,0.0
153 Hand Video Poker,608.0,1.0,0.0
15in1 Solitaire,323.0,2.0,0.0
16 Shot! Shooting Watch,4.0,0.0,0.0
16 Ways to Kill a Vampire at McDonalds,32.5,1.0,0.0
16-Bit Soccer,21.0,3.0,0.0
16-Bit Xmas 2011,6.0,1.0,0.0
16-OS Puzzle,1.0,1.0,0.0
1602 A.D.,765.1666666666666,19.166666666666668,0.0
16bit Trader,32.333333333333336,5.0,0.0
16t,4.0,2.0,0.0
1701 A.D.: The Curse of the Dragon,28.25,3.25,0.0
171,93655.33333333333,481.6666666666667,0.0
177,143.0,1.0,0.0
17CF Quest,5.0,0.0,0.0
18 Cadence,4.0,1.0,0.0
18 Classic Card Games,4.0,1.0,0.0
18 Wheeler: American Pro Trucker,4337.0,19.285714285714285,0.0
18 Wheels of Steel: Across America,564.8571428571429,9.714285714285714,0.0
18 Wheels of Steel: American Long Haul,2138.285714285714,15.857142857142858,0.0
18 Wheels of Steel: Convoy,55.6,1.6,0.0
18 Wheels of Steel: Extreme Trucker,353.14285714285717,9.0,0.0
18 Wheels of Steel: Extreme Trucker 2,216.14285714285714,12.0,0.0
18 Wheels of Steel: Hard Truck,530.0,6.0,0.0
18 Wheels of Steel: Haulin',112.0,11.0,0.0
18 Wheels of Steel: Pedal to the Metal,273.8,7.4,0.0
18+,11702.0,200.66666666666666,0.0
180,87.4,9.6,0.0
180 Darts,522.0,11.0,0.0
1812: The Invasion of Canada,37.0,0.0,0.0
1830: Railroads & Robber Barons,50.6,1.0,0.0
1849,80.0,6.4,0.0
1869,9.666666666666666,1.0,0.0
187 Ride or Die,235.0,11.0,0.0
1893: A World's Fair Mystery,7.6,1.0,0.0
1912 Titanic Mystery,28.0,3.0,0.0
1914 Shells of Fury,3.0,1.0,0.0
1916: Der Unbekannte Krieg,1470.111111111111,21.22222222222222,0.0
1917 - The Alien Invasion,1.0,0.0,0.0
1917: The Alien Invasion DX,173.16666666666666,3.1666666666666665,0.0
1917: The Prologue,42.0,5.0,0.0
1941 Frozen Front,2.0,0.0,0.0
1941: Counter Attack,165.83333333333334,6.666666666666667,0.0
1942,1060.7142857142858,30.0,0.0
1942 Pacific Front,4.0,1.0,0.0
1942: Joint Strike,10.0,3.0,0.0
1942: The Pacific Air War,8.0,1.0,0.0
1943 Berlin Blitz,3350.0,2.0,0.0
1943 Deadly Desert,1.0,0.0,0.0
1943 Kai: Midway Kaisen,98.75,2.5,0.0
1943: The Battle of Midway,1613.4285714285713,25.857142857142858,0.0
1944 D-Day,3.3333333333333335,0.6666666666666666,0.0
1944: The Loop Master,34.6,4.4,0.0
1945 Air Strike,133.75,6.25,0.0
1945 Air Strike Classic,1.0,0.0,0.0
1945 I & II: The Arcade Games,67.2,4.4,0.0
1945k III,259.0,2.0,0.0
1950s Lawn Mower Kids,72.25,3.0,0.0
1953: KGB Unleashed,374.8333333333333,14.833333333333334,0.0
